tweet,label,tokens,filtered_tokens
😂 😂 this girl ankasa ong wode ma me nfa nsi ha yi aa,positive,"['😂', '😂', 'this', 'girl', 'ankasa', 'ong', 'wode', 'ma', 'me', 'nfa', 'nsi', 'ha', 'yi', 'aa']","['😂', '😂', 'girl', 'ankasa', 'ong', 'wode', 'nfa', 'nsi', 'ha', 'yi']"
ohia tua aknode afei nso s wontoma tete nso aaa yaaa na agor ny wo d,positive,"['ohia', 'tua', 'aknode', 'afei', 'nso', 's', 'wontoma', 'tete', 'nso', 'aaa', 'yaaa', 'na', 'agor', 'ny', 'wo', 'd']","['ohia', 'tua', 'aknode', 'afei', 'wontoma', 'tete', 'aaa', 'yaaa', 'agor', 'ny']"
😂 😂 masa gyae gyae y anka b y me d no,positive,"['😂', '😂', 'masa', 'gyae', 'gyae', 'y', 'anka', 'b', 'y', 'me', 'd', 'no']","['😂', '😂', 'masa', 'gyae', 'gyae', 'anka', 'b']"
as yab dam nanso yani da h,positive,"['as', 'yab', 'dam', 'nanso', 'yani', 'da', 'h']","['yab', 'dam', 'nanso', 'yani', 'h']"
don ha de y gyina mu pintinn s abele abaa no wo de to bra 😅😅😅,positive,"['don', 'ha', 'de', 'y', 'gyina', 'mu', 'pintinn', 's', 'abele', 'abaa', 'no', 'wo', 'de', 'to', 'bra', '😅', '😅', '😅']","['ha', 'gyina', 'pintinn', 'abele', 'abaa', 'bra', '😅', '😅', '😅']"
afe nko mbeto hn bio,positive,"['afe', 'nko', 'mbeto', 'hn', 'bio']","['afe', 'nko', 'mbeto', 'hn', 'bio']"
oo coins gyae saa lol ɔngye sika biaa y hehe,positive,"['oo', 'coins', 'gyae', 'saa', 'lol', 'ɔngye', 'sika', 'biaa', 'y', 'hehe']","['oo', 'coins', 'gyae', 'saa', 'lol', 'ɔngye', 'sika', 'biaa', 'hehe']"
tweet bako yɛ k o😂👀,positive,"['tweet', 'bako', 'yɛ', 'k', 'o', '😂', '👀']","['tweet', 'bako', 'k', '😂', '👀']"
enka yby kantaka car no bi saa,positive,"['enka', 'yby', 'kantaka', 'car', 'no', 'bi', 'saa']","['enka', 'yby', 'kantaka', 'car', 'saa']"
nso woti asem a nya abotare na mp ntem enkasa 😒,positive,"['nso', 'woti', 'asem', 'a', 'nya', 'abotare', 'na', 'mp', 'ntem', 'enkasa', '😒']","['woti', 'asem', 'nya', 'abotare', 'mp', 'ntem', 'enkasa', '😒']"
we are really rich yti sika mu eii cmo ti sika mu rather,positive,"['we', 'are', 'really', 'rich', 'yti', 'sika', 'mu', 'eii', 'cmo', 'ti', 'sika', 'mu', 'rather']","['really', 'rich', 'yti', 'sika', 'eii', 'cmo', 'ti', 'sika', 'rather']"
agye wonmo nsamu ntiaa but dont worry cause nfa anidaso asa ama wonmo nyame na tua wonmo ka,positive,"['agye', 'wonmo', 'nsamu', 'ntiaa', 'but', 'dont', 'worry', 'cause', 'nfa', 'anidaso', 'asa', 'ama', 'wonmo', 'nyame', 'na', 'tua', 'wonmo', 'ka']","['agye', 'wonmo', 'nsamu', 'ntiaa', 'dont', 'worry', 'cause', 'nfa', 'anidaso', 'asa', 'ama', 'wonmo', 'nyame', 'tua', 'wonmo']"
ahoufe nku ne adwen nso nku 🤣🤣🤣🤣🤣,positive,"['ahoufe', 'nku', 'ne', 'adwen', 'nso', 'nku', '🤣', '🤣', '🤣', '🤣', '🤣']","['ahoufe', 'nku', 'adwen', 'nku', '🤣', '🤣', '🤣', '🤣', '🤣']"
minutes biaaaa goal baako nam mu🤣🤣🤣🤣🤣,positive,"['minutes', 'biaaaa', 'goal', 'baako', 'nam', 'mu', '🤣', '🤣', '🤣', '🤣', '🤣']","['minutes', 'biaaaa', 'goal', 'baako', 'nam', '🤣', '🤣', '🤣', '🤣', '🤣']"
aww ewurade ewurade olé a ha yn oo,positive,"['aww', 'ewurade', 'ewurade', 'olé', 'a', 'ha', 'yn', 'oo']","['aww', 'ewurade', 'ewurade', 'olé', 'ha', 'yn', 'oo']"
kwaw kesse mpo twa bet na me kwaku owusu,positive,"['kwaw', 'kesse', 'mpo', 'twa', 'bet', 'na', 'me', 'kwaku', 'owusu']","['kwaw', 'kesse', 'mpo', 'twa', 'bet', 'kwaku', 'owusu']"
masa mente ase ka twi 😂😂,positive,"['masa', 'mente', 'ase', 'ka', 'twi', '😂', '😂']","['masa', 'mente', 'ase', 'twi', '😂', '😂']"
anigye bere no aso😂😂,positive,"['anigye', 'bere', 'no', 'aso', '😂', '😂']","['anigye', 'bere', 'aso', '😂', '😂']"
x metie nnipa ano aa anka many yie metie nnipa ano aa anka mandru fie kaa ketekete mede hy bayie,positive,"['x', 'metie', 'nnipa', 'ano', 'aa', 'anka', 'many', 'yie', 'metie', 'nnipa', 'ano', 'aa', 'anka', 'mandru', 'fie', 'kaa', 'ketekete', 'mede', 'hy', 'bayie']","['x', 'metie', 'nnipa', 'ano', 'anka', 'many', 'yie', 'metie', 'nnipa', 'ano', 'anka', 'mandru', 'fie', 'kaa', 'ketekete', 'mede', 'hy', 'bayie']"
as we are enjoying the signing sulley muntari kakabo fc supporters are fighting over fatau dauda 😂😂😂😂😂 kakabo fc ayɛ mɔbɔ dodo,positive,"['as', 'we', 'are', 'enjoying', 'the', 'signing', 'sulley', 'muntari', 'kakabo', 'fc', 'supporters', 'are', 'fighting', 'over', 'fatau', 'dauda', '😂', '😂', '😂', '😂', '😂', 'kakabo', 'fc', 'ayɛ', 'mɔbɔ', 'dodo']","['enjoying', 'signing', 'sulley', 'muntari', 'kakabo', 'fc', 'supporters', 'fighting', 'fatau', 'dauda', '😂', '😂', '😂', '😂', '😂', 'kakabo', 'fc', 'ayɛ', 'mɔbɔ', 'dodo']"
enti menso ybfr me daa,positive,"['enti', 'menso', 'ybfr', 'me', 'daa']","['enti', 'menso', 'ybfr', 'daa']"
anka download mpo err na yen nya be ntwi anyway enjoy,positive,"['anka', 'download', 'mpo', 'err', 'na', 'yen', 'nya', 'be', 'ntwi', 'anyway', 'enjoy']","['anka', 'download', 'mpo', 'err', 'yen', 'nya', 'ntwi', 'anyway', 'enjoy']"
ndi mo so binigwe anasi hallelujah,positive,"['ndi', 'mo', 'so', 'binigwe', 'anasi', 'hallelujah']","['ndi', 'binigwe', 'anasi', 'hallelujah']"
adze akye biom sr na b mpae na kp sika na sika ho hia 😊,positive,"['adze', 'akye', 'biom', 'sr', 'na', 'b', 'mpae', 'na', 'kp', 'sika', 'na', 'sika', 'ho', 'hia', '😊']","['adze', 'akye', 'biom', 'sr', 'b', 'mpae', 'kp', 'sika', 'sika', 'hia', '😊']"
hahaha hahaha ma te,positive,"['hahaha', 'hahaha', 'ma', 'te']","['hahaha', 'hahaha', 'te']"
wonni sika aa wo se mo mmen,positive,"['wonni', 'sika', 'aa', 'wo', 'se', 'mo', 'mmen']","['wonni', 'sika', 'mmen']"
sende me sika for bottles no bi,positive,"['sende', 'me', 'sika', 'for', 'bottles', 'no', 'bi']","['sende', 'sika', 'bottles']"
nie ne today de usa slangs no bsu oo eii slay kakra catwalk kakra akutia nso kakra ❤️❤️,positive,"['nie', 'ne', 'today', 'de', 'usa', 'slangs', 'no', 'bsu', 'oo', 'eii', 'slay', 'kakra', 'catwalk', 'kakra', 'akutia', 'nso', 'kakra', '❤', '️', '❤', '️']","['nie', 'today', 'usa', 'slangs', 'bsu', 'oo', 'eii', 'slay', 'kakra', 'catwalk', 'kakra', 'akutia', 'kakra', '❤', '️', '❤', '️']"
nkati burger sef bi pesewes only p dey inside 😂😂😂😂😂💔💔💔💔💔,positive,"['nkati', 'burger', 'sef', 'bi', 'pesewes', 'only', 'p', 'dey', 'inside', '😂', '😂', '😂', '😂', '😂', '💔', '💔', '💔', '💔', '💔']","['nkati', 'burger', 'sef', 'pesewes', 'p', 'dey', 'inside', '😂', '😂', '😂', '😂', '😂', '💔', '💔', '💔', '💔', '💔']"
adonko fa me ko o 🤣✌️,positive,"['adonko', 'fa', 'me', 'ko', 'o', '🤣', '✌', '️']","['adonko', 'fa', 'ko', '🤣', '✌', '️']"
eii to rep eii then jack i missed a lot cause thing ebi music kakraa comedy kakraa,positive,"['eii', 'to', 'rep', 'eii', 'then', 'jack', 'i', 'missed', 'a', 'lot', 'cause', 'thing', 'ebi', 'music', 'kakraa', 'comedy', 'kakraa']","['eii', 'rep', 'eii', 'jack', 'missed', 'lot', 'cause', 'thing', 'ebi', 'music', 'kakraa', 'comedy', 'kakraa']"
yes yesu kasa na wakoa retie,positive,"['yes', 'yesu', 'kasa', 'na', 'wakoa', 'retie']","['yes', 'yesu', 'kasa', 'wakoa', 'retie']"
ɔpɛnimma ɔnyankopɔn apɔmuden mpaemuka biribiara a ɔnyankopɔn woe no di wiase so nkonim onyame awo me ɛnoti ma di wiase so nkonim ma di nkonim wo yadeɛ ne ɔwuo so me firi oyankopɔn mu sɛ nea ɔyɛ ahintahu no na bibia ntumi ɛsi no kwan no saa na me teɛ aleluya,positive,"['ɔpɛnimma', 'ɔnyankopɔn', 'apɔmuden', 'mpaemuka', 'biribiara', 'a', 'ɔnyankopɔn', 'woe', 'no', 'di', 'wiase', 'so', 'nkonim', 'onyame', 'awo', 'me', 'ɛnoti', 'ma', 'di', 'wiase', 'so', 'nkonim', 'ma', 'di', 'nkonim', 'wo', 'yadeɛ', 'ne', 'ɔwuo', 'so', 'me', 'firi', 'oyankopɔn', 'mu', 'sɛ', 'nea', 'ɔyɛ', 'ahintahu', 'no', 'na', 'bibia', 'ntumi', 'ɛsi', 'no', 'kwan', 'no', 'saa', 'na', 'me', 'teɛ', 'aleluya']","['ɔpɛnimma', 'ɔnyankopɔn', 'apɔmuden', 'mpaemuka', 'biribiara', 'ɔnyankopɔn', 'woe', 'wiase', 'nkonim', 'onyame', 'awo', 'ɛnoti', 'wiase', 'nkonim', 'nkonim', 'yadeɛ', 'ɔwuo', 'firi', 'oyankopɔn', 'sɛ', 'nea', 'ɔyɛ', 'ahintahu', 'bibia', 'ntumi', 'ɛsi', 'kwan', 'saa', 'teɛ', 'aleluya']"
gyae kasa nu na carcious is on heat 🔥🔥🔥🔥🔥🔥,positive,"['gyae', 'kasa', 'nu', 'na', 'carcious', 'is', 'on', 'heat', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']","['gyae', 'kasa', 'nu', 'carcious', 'heat', '🔥', '🔥', '🔥', '🔥', '🔥', '🔥']"
akokɔ inches deɛ giraffe o,positive,"['akokɔ', 'inches', 'deɛ', 'giraffe', 'o']","['akokɔ', 'inches', 'deɛ', 'giraffe']"
yesu y ma adamfo nti mesuro obiaa,positive,"['yesu', 'y', 'ma', 'adamfo', 'nti', 'mesuro', 'obiaa']","['yesu', 'adamfo', 'nti', 'mesuro', 'obiaa']"
kwabena apawu aka frère ka frenchman of mining city radio mhz tarkwa ghana,positive,"['kwabena', 'apawu', 'aka', 'frère', 'ka', 'frenchman', 'of', 'mining', 'city', 'radio', 'mhz', 'tarkwa', 'ghana']","['kwabena', 'apawu', 'aka', 'frère', 'frenchman', 'mining', 'city', 'radio', 'mhz', 'tarkwa', 'ghana']"
awurade morsha boduong ho twa honan saadii ankasa 😂,positive,"['awurade', 'morsha', 'boduong', 'ho', 'twa', 'honan', 'saadii', 'ankasa', '😂']","['awurade', 'morsha', 'boduong', 'twa', 'honan', 'saadii', 'ankasa', '😂']"
s pen game is fantastic song is magical and touches the heart ewurade nnyɛ awoa nka nka me yɛ lonely ma hwehwɛ obi maka masɛm akyerɛ no ma me nnya obia me nnya obia mabɔ me ndwom akyerɛ no oo🙌,positive,"['s', 'pen', 'game', 'is', 'fantastic', 'song', 'is', 'magical', 'and', 'touches', 'the', 'heart', 'ewurade', 'nnyɛ', 'awoa', 'nka', 'nka', 'me', 'yɛ', 'lonely', 'ma', 'hwehwɛ', 'obi', 'maka', 'masɛm', 'akyerɛ', 'no', 'ma', 'me', 'nnya', 'obia', 'me', 'nnya', 'obia', 'mabɔ', 'me', 'ndwom', 'akyerɛ', 'no', 'oo', '🙌']","['pen', 'game', 'fantastic', 'song', 'magical', 'touches', 'heart', 'ewurade', 'nnyɛ', 'awoa', 'nka', 'nka', 'lonely', 'hwehwɛ', 'obi', 'maka', 'masɛm', 'akyerɛ', 'nnya', 'obia', 'nnya', 'obia', 'mabɔ', 'ndwom', 'akyerɛ', 'oo', '🙌']"
y nfa ky nhy de fata nobradez fans y yda mos mo feeli me nso a me checki mo mo gye me di a me pressi mo na s wo mpene nso a jo me nfa ho s rap kk na mo p de me de ma mo,positive,"['y', 'nfa', 'ky', 'nhy', 'de', 'fata', 'nobradez', 'fans', 'y', 'yda', 'mos', 'mo', 'feeli', 'me', 'nso', 'a', 'me', 'checki', 'mo', 'mo', 'gye', 'me', 'di', 'a', 'me', 'pressi', 'mo', 'na', 's', 'wo', 'mpene', 'nso', 'a', 'jo', 'me', 'nfa', 'ho', 's', 'rap', 'kk', 'na', 'mo', 'p', 'de', 'me', 'de', 'ma', 'mo']","['nfa', 'ky', 'nhy', 'fata', 'nobradez', 'fans', 'yda', 'mos', 'feeli', 'checki', 'gye', 'pressi', 'mpene', 'jo', 'nfa', 'rap', 'kk', 'p']"
nnoɔma nnyɛ wɔ city side sika ntɔ ɔdɔ 🤠🤠🤠,positive,"['nnoɔma', 'nnyɛ', 'wɔ', 'city', 'side', 'sika', 'ntɔ', 'ɔdɔ', '🤠', '🤠', '🤠']","['nnoɔma', 'nnyɛ', 'city', 'side', 'sika', 'ntɔ', 'ɔdɔ', '🤠', '🤠', '🤠']"
herrrr ka na ka biom 🤣🤣🤣,positive,"['herrrr', 'ka', 'na', 'ka', 'biom', '🤣', '🤣', '🤣']","['herrrr', 'biom', '🤣', '🤣', '🤣']"
😂😂😂😂masa cnkc da ne mmr atwa mu😂😂😂,positive,"['😂', '😂', '😂', '😂', 'masa', 'cnkc', 'da', 'ne', 'mmr', 'atwa', 'mu', '😂', '😂', '😂']","['😂', '😂', '😂', '😂', 'masa', 'cnkc', 'mmr', 'atwa', '😂', '😂', '😂']"
ball no dier yeb oo nso aka goal no 🥺🥺,positive,"['ball', 'no', 'dier', 'yeb', 'oo', 'nso', 'aka', 'goal', 'no', '🥺', '🥺']","['ball', 'dier', 'yeb', 'oo', 'aka', 'goal', '🥺', '🥺']"
nana nyame eeee boys abr oooo nti s y su fr wo a tie yn,positive,"['nana', 'nyame', 'eeee', 'boys', 'abr', 'oooo', 'nti', 's', 'y', 'su', 'fr', 'wo', 'a', 'tie', 'yn']","['nana', 'nyame', 'eeee', 'boys', 'abr', 'oooo', 'nti', 'su', 'fr', 'tie', 'yn']"
sika sem nti mene nipa mmre🙁,positive,"['sika', 'sem', 'nti', 'mene', 'nipa', 'mmre', '🙁']","['sika', 'sem', 'nti', 'mene', 'nipa', 'mmre', '🙁']"
ka no s mmle kooko na di,positive,"['ka', 'no', 's', 'mmle', 'kooko', 'na', 'di']","['mmle', 'kooko']"
eehu eehu ya nom nsa ano y din nso ynnwu,positive,"['eehu', 'eehu', 'ya', 'nom', 'nsa', 'ano', 'y', 'din', 'nso', 'ynnwu']","['eehu', 'eehu', 'ya', 'nom', 'nsa', 'ano', 'din', 'ynnwu']"
s dede se bgye arhh yaa tie ne din dede nkoaaa 🤭,positive,"['s', 'dede', 'se', 'bgye', 'arhh', 'yaa', 'tie', 'ne', 'din', 'dede', 'nkoaaa', '🤭']","['dede', 'bgye', 'arhh', 'yaa', 'tie', 'din', 'dede', 'nkoaaa', '🤭']"
wo kum apem aa apem bba ⚽️🔥🔥🙌🏿,positive,"['wo', 'kum', 'apem', 'aa', 'apem', 'bba', '⚽', '️', '🔥', '🔥', '🙌', '🏿']","['kum', 'apem', 'apem', 'bba', '⚽', '️', '🔥', '🔥', '🙌', '🏿']"
bawumia won kwa so nyame nhyira wo basa basa basa,positive,"['bawumia', 'won', 'kwa', 'so', 'nyame', 'nhyira', 'wo', 'basa', 'basa', 'basa']","['bawumia', 'kwa', 'nyame', 'nhyira', 'basa', 'basa', 'basa']"
ɛɛɛi wey matter too this ah lol nti boys ɛngyae shii anaaa peejay ask give me wae,positive,"['ɛɛɛi', 'wey', 'matter', 'too', 'this', 'ah', 'lol', 'nti', 'boys', 'ɛngyae', 'shii', 'anaaa', 'peejay', 'ask', 'give', 'me', 'wae']","['ɛɛɛi', 'wey', 'matter', 'ah', 'lol', 'nti', 'boys', 'ɛngyae', 'shii', 'anaaa', 'peejay', 'ask', 'give', 'wae']"
yɛwɔ sika anka yɛkɔɔ ashesi ne bi😒,positive,"['yɛwɔ', 'sika', 'anka', 'yɛkɔɔ', 'ashesi', 'ne', 'bi', '😒']","['yɛwɔ', 'sika', 'anka', 'yɛkɔɔ', 'ashesi', '😒']"
s meka dabro wa kooli a ma people can relate 🤷🏿‍♂️,positive,"['s', 'meka', 'dabro', 'wa', 'kooli', 'a', 'ma', 'people', 'can', 'relate', '🤷', '🏿', '\u200d', '♂', '️']","['meka', 'dabro', 'wa', 'kooli', 'people', 'relate', '🤷', '🏿', '\u200d', '♂', '️']"
afe seisei na medan na masi awie mese me ghetto mu na ma siesie yk aa mek bi ybaa me ba na manya sekan de ama akonta cos ewiase mu obi nhw obi ba nti mey adwuma den na magye pay ahaban meti so 😂mentwe nu pii,positive,"['afe', 'seisei', 'na', 'medan', 'na', 'masi', 'awie', 'mese', 'me', 'ghetto', 'mu', 'na', 'ma', 'siesie', 'yk', 'aa', 'mek', 'bi', 'ybaa', 'me', 'ba', 'na', 'manya', 'sekan', 'de', 'ama', 'akonta', 'cos', 'ewiase', 'mu', 'obi', 'nhw', 'obi', 'ba', 'nti', 'mey', 'adwuma', 'den', 'na', 'magye', 'pay', 'ahaban', 'meti', 'so', '😂', 'mentwe', 'nu', 'pii']","['afe', 'seisei', 'medan', 'masi', 'awie', 'mese', 'ghetto', 'siesie', 'yk', 'mek', 'ybaa', 'manya', 'sekan', 'ama', 'akonta', 'cos', 'ewiase', 'obi', 'nhw', 'obi', 'nti', 'mey', 'adwuma', 'den', 'magye', 'pay', 'ahaban', 'meti', '😂', 'mentwe', 'nu', 'pii']"
s yeb bo wo ama wasu de nka titi woho n su fatima ein proverb 🤣🤣🤣🤣s wob dum me rush paa de nka mean mdum no,positive,"['s', 'yeb', 'bo', 'wo', 'ama', 'wasu', 'de', 'nka', 'titi', 'woho', 'n', 'su', 'fatima', 'ein', 'proverb', '🤣', '🤣', '🤣', '🤣', 's', 'wob', 'dum', 'me', 'rush', 'paa', 'de', 'nka', 'mean', 'mdum', 'no']","['yeb', 'bo', 'ama', 'wasu', 'nka', 'titi', 'woho', 'n', 'su', 'fatima', 'ein', 'proverb', '🤣', '🤣', '🤣', '🤣', 'wob', 'dum', 'rush', 'paa', 'nka', 'mean', 'mdum']"
mo de mo sika too so a nka mawinne bet susu dwa wanum na mamɛ stoppe wo daily bread 🐐🐐🔥🔥🔥,positive,"['mo', 'de', 'mo', 'sika', 'too', 'so', 'a', 'nka', 'mawinne', 'bet', 'susu', 'dwa', 'wanum', 'na', 'mamɛ', 'stoppe', 'wo', 'daily', 'bread', '🐐', '🐐', '🔥', '🔥', '🔥']","['sika', 'nka', 'mawinne', 'bet', 'susu', 'dwa', 'wanum', 'mamɛ', 'stoppe', 'daily', 'bread', '🐐', '🐐', '🔥', '🔥', '🔥']"
somebody tell me barima a omfa ne yere akyi na kyr s onni sika sika na onni ntia😂,positive,"['somebody', 'tell', 'me', 'barima', 'a', 'omfa', 'ne', 'yere', 'akyi', 'na', 'kyr', 's', 'onni', 'sika', 'sika', 'na', 'onni', 'ntia', '😂']","['somebody', 'tell', 'barima', 'omfa', 'yere', 'akyi', 'kyr', 'onni', 'sika', 'sika', 'onni', 'ntia', '😂']"
medaase bossu epim m slidei into wo momo waii 😂😂😂😂,positive,"['medaase', 'bossu', 'epim', 'm', 'slidei', 'into', 'wo', 'momo', 'waii', '😂', '😂', '😂', '😂']","['medaase', 'bossu', 'epim', 'slidei', 'momo', 'waii', '😂', '😂', '😂', '😂']"
🎶 ogya e ogya sunsum kronkron mu ogya ogya e ogya sunsum kronkron mu ogya bɛ yɛ wadwuma bɛ yɛ wadwuma makoma mu ogya e onyame gya 🎶,positive,"['🎶', 'ogya', 'e', 'ogya', 'sunsum', 'kronkron', 'mu', 'ogya', 'ogya', 'e', 'ogya', 'sunsum', 'kronkron', 'mu', 'ogya', 'bɛ', 'yɛ', 'wadwuma', 'bɛ', 'yɛ', 'wadwuma', 'makoma', 'mu', 'ogya', 'e', 'onyame', 'gya', '🎶']","['🎶', 'ogya', 'e', 'ogya', 'sunsum', 'kronkron', 'ogya', 'ogya', 'e', 'ogya', 'sunsum', 'kronkron', 'ogya', 'bɛ', 'wadwuma', 'bɛ', 'wadwuma', 'makoma', 'ogya', 'e', 'onyame', 'gya', '🎶']"
wo kum apemapem b ba,positive,"['wo', 'kum', 'apemapem', 'b', 'ba']","['kum', 'apemapem', 'b']"
aka baako no wofa 😎,positive,"['aka', 'baako', 'no', 'wofa', '😎']","['aka', 'baako', 'wofa', '😎']"
wo yonko abodwes shi aa na wa san nsuo si wo de so fa cup yi ay d,positive,"['wo', 'yonko', 'abodwes', 'shi', 'aa', 'na', 'wa', 'san', 'nsuo', 'si', 'wo', 'de', 'so', 'fa', 'cup', 'yi', 'ay', 'd']","['yonko', 'abodwes', 'shi', 'wa', 'san', 'nsuo', 'si', 'fa', 'cup', 'yi', 'ay']"
masa mma wo ni ntra wni nton wati you cant destroy to build fk,positive,"['masa', 'mma', 'wo', 'ni', 'ntra', 'wni', 'nton', 'wati', 'you', 'cant', 'destroy', 'to', 'build', 'fk']","['masa', 'mma', 'ntra', 'wni', 'nton', 'wati', 'cant', 'destroy', 'build', 'fk']"
saa pro bono adwuma no yagyae go to legal aid,positive,"['saa', 'pro', 'bono', 'adwuma', 'no', 'yagyae', 'go', 'to', 'legal', 'aid']","['saa', 'pro', 'bono', 'adwuma', 'yagyae', 'go', 'legal', 'aid']"
aa awurade me ser wo pii next time wode bbo me nipa wo ghana de nka mame y ekuro🐀 wo canada,positive,"['aa', 'awurade', 'me', 'ser', 'wo', 'pii', 'next', 'time', 'wode', 'bbo', 'me', 'nipa', 'wo', 'ghana', 'de', 'nka', 'mame', 'y', 'ekuro', '🐀', 'wo', 'canada']","['awurade', 'ser', 'pii', 'next', 'time', 'wode', 'bbo', 'nipa', 'ghana', 'nka', 'mame', 'ekuro', '🐀', 'canada']"
nyame adom meho y ade akye me nkoaa de mehoy no gidigidi meho y kakra abhy yeho naa nkoaa de me ho y me ho y mehoy meho y o hip hip hooraay,positive,"['nyame', 'adom', 'meho', 'y', 'ade', 'akye', 'me', 'nkoaa', 'de', 'mehoy', 'no', 'gidigidi', 'meho', 'y', 'kakra', 'abhy', 'yeho', 'naa', 'nkoaa', 'de', 'me', 'ho', 'y', 'me', 'ho', 'y', 'mehoy', 'meho', 'y', 'o', 'hip', 'hip', 'hooraay']","['nyame', 'adom', 'meho', 'ade', 'akye', 'nkoaa', 'mehoy', 'gidigidi', 'meho', 'kakra', 'abhy', 'yeho', 'naa', 'nkoaa', 'mehoy', 'meho', 'hip', 'hip', 'hooraay']"
kyersnanka twifo praso nso err 😂,positive,"['kyersnanka', 'twifo', 'praso', 'nso', 'err', '😂']","['kyersnanka', 'twifo', 'praso', 'err', '😂']"
ahofe dua baako p,positive,"['ahofe', 'dua', 'baako', 'p']","['ahofe', 'dua', 'baako', 'p']"
when roddy rich said suro nipa na gyae saman efya odo felt it 😂,positive,"['when', 'roddy', 'rich', 'said', 'suro', 'nipa', 'na', 'gyae', 'saman', 'efya', 'odo', 'felt', 'it', '😂']","['roddy', 'rich', 'said', 'suro', 'nipa', 'gyae', 'saman', 'efya', 'odo', 'felt', '😂']"
🎬🎷onyame adwamma x onyame adwamma no a wɔkum wo wofata wofata odwamma a wɔkum wo x 🎬🎷🎻,positive,"['🎬', '🎷', 'onyame', 'adwamma', 'x', 'onyame', 'adwamma', 'no', 'a', 'wɔkum', 'wo', 'wofata', 'wofata', 'odwamma', 'a', 'wɔkum', 'wo', 'x', '🎬', '🎷', '🎻']","['🎬', '🎷', 'onyame', 'adwamma', 'x', 'onyame', 'adwamma', 'wɔkum', 'wofata', 'wofata', 'odwamma', 'wɔkum', 'x', '🎬', '🎷', '🎻']"
to wabodoo gu nsuo ani daakye wo nso beka,positive,"['to', 'wabodoo', 'gu', 'nsuo', 'ani', 'daakye', 'wo', 'nso', 'beka']","['wabodoo', 'gu', 'nsuo', 'ani', 'daakye', 'beka']"
life is war ɔbra yɛ ɔko wante anaa,positive,"['life', 'is', 'war', 'ɔbra', 'yɛ', 'ɔko', 'wante', 'anaa']","['life', 'war', 'ɔbra', 'ɔko', 'wante', 'anaa']"
oh snr ka na ka biom 🤣🤣🤣,positive,"['oh', 'snr', 'ka', 'na', 'ka', 'biom', '🤣', '🤣', '🤣']","['oh', 'snr', 'biom', '🤣', '🤣', '🤣']"
ahaha nana baako p,positive,"['ahaha', 'nana', 'baako', 'p']","['ahaha', 'nana', 'baako', 'p']"
amen medaas me piii,positive,"['amen', 'medaas', 'me', 'piii']","['amen', 'medaas', 'piii']"
ɔpɛnimma ɔnyankopɔn apɔmuden mpaemuka ɔnyankopɔn mu anigyie ne ma hoɔden me wo ɔnyankopɔn nkwa wo me mu ɛnti ma pomuden yɛ pɛ me wo ahoɔden mmapa me nya ahoɔden foforɔ da bia ɛfi sɛ me nipadua yi yɛ ɔnyankopɔn honhom kronkron no asɔre den a yeyi nka awurade daa,positive,"['ɔpɛnimma', 'ɔnyankopɔn', 'apɔmuden', 'mpaemuka', 'ɔnyankopɔn', 'mu', 'anigyie', 'ne', 'ma', 'hoɔden', 'me', 'wo', 'ɔnyankopɔn', 'nkwa', 'wo', 'me', 'mu', 'ɛnti', 'ma', 'pomuden', 'yɛ', 'pɛ', 'me', 'wo', 'ahoɔden', 'mmapa', 'me', 'nya', 'ahoɔden', 'foforɔ', 'da', 'bia', 'ɛfi', 'sɛ', 'me', 'nipadua', 'yi', 'yɛ', 'ɔnyankopɔn', 'honhom', 'kronkron', 'no', 'asɔre', 'den', 'a', 'yeyi', 'nka', 'awurade', 'daa']","['ɔpɛnimma', 'ɔnyankopɔn', 'apɔmuden', 'mpaemuka', 'ɔnyankopɔn', 'anigyie', 'hoɔden', 'ɔnyankopɔn', 'nkwa', 'ɛnti', 'pomuden', 'pɛ', 'ahoɔden', 'mmapa', 'nya', 'ahoɔden', 'foforɔ', 'bia', 'ɛfi', 'sɛ', 'nipadua', 'yi', 'ɔnyankopɔn', 'honhom', 'kronkron', 'asɔre', 'den', 'yeyi', 'nka', 'awurade', 'daa']"
ɛnha me oo ɛnha me kraa me yɛ very ok,positive,"['ɛnha', 'me', 'oo', 'ɛnha', 'me', 'kraa', 'me', 'yɛ', 'very', 'ok']","['ɛnha', 'oo', 'ɛnha', 'kraa', 'ok']"
yes anaa wonni vim,positive,"['yes', 'anaa', 'wonni', 'vim']","['yes', 'anaa', 'wonni', 'vim']"
wo kum apem a apem beba🔥🔥🔥 welldone warriors,positive,"['wo', 'kum', 'apem', 'a', 'apem', 'beba', '🔥', '🔥', '🔥', 'welldone', 'warriors']","['kum', 'apem', 'apem', 'beba', '🔥', '🔥', '🔥', 'welldone', 'warriors']"
me nim sɛ sei nɛbɛba anka yɛ signi mo you always wanna make me feel like menyɛ bɛɛma o,positive,"['me', 'nim', 'sɛ', 'sei', 'nɛbɛba', 'anka', 'yɛ', 'signi', 'mo', 'you', 'always', 'wanna', 'make', 'me', 'feel', 'like', 'menyɛ', 'bɛɛma', 'o']","['nim', 'sɛ', 'sei', 'nɛbɛba', 'anka', 'signi', 'always', 'wanna', 'make', 'feel', 'like', 'menyɛ', 'bɛɛma']"
